title,score.value,decision,score.justification
The causal role of elevated uric acid and waist circumference on the risk of metabolic syndrome components,3,Excluded,"Three of the four term categories were present in the abstract, but there was no mention of European or related ancestry terms."
Exploring the Relationship Between Schizophrenia and Cardiovascular Disease: A Genetic Correlation and Multivariable Mendelian Randomization Study,3,Excluded,"Three of the four term categories are present in the document, resulting in a score of 3."
Causal effect of alcohol use on the risk of end-stage kidney disease and related comorbidities: a Mendelian randomization study,3,Excluded,"Three out of the four term categories are present, leading to a score of 3."
Human genetic determinants of the gut microbiome and their associations with health and disease: a phenome-wide association study,4,Excluded,"All four term categories are present in the abstract, thus achieving the highest relevance score."
The effect of elevated body mass index on ischemic heart disease risk: causal estimates from a Mendelian randomisation approach,4,Excluded,"All four term categories are present in the document, with specific terms found in both the title and abstract, thus achieving the highest relevance score."
A Novel Method for Mendelian Randomization Analyses With Pleiotropy and Linkage Disequilibrium in Genetic Variants From Individual Data,3,Excluded,"Three out of the four term categories were present in the document, resulting in a score of 3."
Obesity and peripheral arterial disease: A Mendelian Randomization analysis,3,Excluded,"Three out of the four term categories are present in the document, resulting in a score of 3."
Association of Body Mass Index With Cardiometabolic Disease in the UK Biobank: A Mendelian Randomization Study,3,Excluded,"Three of the four term categories are present (BMI/adiposity, Mendelian randomisation, and cardiovascular disease), but there is no mention of European/white/Caucasian ancestry."
"The Role of Obesity, Type 2 Diabetes, and Metabolic Factors in Pancreatic Cancer: A Mendelian Randomization Study",3,Excluded,"Three out of the four required term categories are present, but there is no mention of European or white ancestry."
Understanding Factors That Cause Tinnitus: A Mendelian Randomization Study in the UK Biobank,4,Excluded,"All four term categories are present in the document, thus achieving the highest relevance score."
Genetic analysis of obstructive sleep apnoea discovers a strong association with cardiometabolic health,3,Excluded,"Three out of four term categories are present, but there is no mention of European or white ancestry."
"Association of lactase persistence genotype with milk consumption, obesity and blood pressure: a Mendelian randomization study in the 1982 Pelotas (Brazil) Birth Cohort, with a systematic review and meta-analysis",3,Excluded,"Three out of the four term categories are present in the document, hence a score of 3 is assigned."
Metabolic and lifestyle factors in relation to senile cataract: a Mendelian randomization study,4,Excluded,"All four term categories are present in the document, thus achieving the highest relevance score."
Association of Serum Uric Acid with Metabolic Syndrome and Its Components: A Mendelian Randomization Analysis,3,Excluded,"Three term categories are present: Mendelian randomisation and cardiovascular disease are found in the abstract, but no terms related to BMI/adiposity or European ancestry are mentioned."
Impact of comorbidities on gout and hyperuricaemia: an update on prevalence and treatment options,0,Excluded,"Two out of the four term categories were identified in the abstract, resulting in a score of 0."
Can increasing years of schooling reduce type 2 diabetes (T2D)?: Evidence from a Mendelian randomization of T2D and 10 of its risk factors,3,Excluded,"Three out of four term categories are present, which results in a score of 3."
