,document_info.title,document_info.abstract_preview,term_analysis.bmi_adiposity.present,term_analysis.bmi_adiposity.locations,term_analysis.bmi_adiposity.variations_found,term_analysis.bmi_adiposity.is_main_exposure,term_analysis.mendelian_randomisation.present,term_analysis.mendelian_randomisation.locations,term_analysis.mendelian_randomisation.variations_found,term_analysis.blood_pressure.present,term_analysis.blood_pressure.locations,term_analysis.blood_pressure.variations_found,term_analysis.european_ancestry.present,term_analysis.european_ancestry.locations,term_analysis.european_ancestry.variations_found,score.value,score.breakdown.bmi_adiposity,score.breakdown.mendelian_randomisation,score.breakdown.blood_pressure_terms,score.breakdown.european_ancestry,score.justification,score.breakdown.blood pressure terms,score.breakdown.blood_pressure terms,SCORE
0,The causal role of elevated uric acid and waist circumference on the risk of metabolic syndrome components,BACKGROUND/OBJECTIVES: Hyperuricemia has been foun...,False,[],[],False,True,['abstract'],['Mendelian randomization'],True,['abstract'],"['systolic blood pressure', 'diastolic blood pressure', 'high blood pressure']",False,[],[],-3,-2,1,1.0,-2,"BMI/adiposity terms are absent, not studied as an exposure or outcome. Mendelian randomisation is present and discussed in the context of causal relationships. Blood pressure terms are present and studied as outcomes. No European/white/Caucasian ancestry terms are mentioned.",,,-2
1,Exploring the Relationship Between Schizophrenia and Cardiovascular Disease: A Genetic Correlation and Multivariable Mendelian Randomization Study,Individuals with schizophrenia have a reduced life...,True,['abstract'],['body mass index'],False,True,"['title', 'abstract']","['Mendelian Randomization', 'multivariable MR']",True,['abstract'],['systolic and diastolic blood pressure'],False,[],[],-2,-1,1,1.0,-2,"BMI is present but not as a main exposure, only as a mediator. Mendelian randomisation is clearly present in both title and abstract. Blood pressure terms are present and studied as outcomes. No European ancestry terms are mentioned.",,,-1
2,Causal effect of alcohol use on the risk of end-stage kidney disease and related comorbidities: a Mendelian randomization study,BACKGROUND: An inverse observational association b...,True,['abstract'],"['obesity', 'central obesity']",False,True,"['title', 'abstract']",['Mendelian randomization'],True,['abstract'],['hypertension'],True,['abstract'],['white British ancestry'],-1,-1,1,1.0,1,"BMI/adiposity terms are present but not as the main exposure, hence -1. Mendelian randomisation is present, scoring +1. Blood pressure terms are present and studied as outcomes, scoring +1. European ancestry is present, scoring +1. Total score is -1 + 1 + 1 + 1 = 1.",,,2
3,Human genetic determinants of the gut microbiome and their associations with health and disease: a phenome-wide association study,Small-scale studies have suggested a link between ...,True,['abstract'],['BMI'],False,True,['abstract'],['Mendelian randomization'],True,['abstract'],['hypertension'],True,['abstract'],['UK Biobank'],0,-1,1,1.0,1,"BMI is mentioned but not as a main exposure, hence -1. Mendelian randomisation is present, scoring +1. Hypertension is mentioned as an outcome, scoring +1. UK Biobank indicates European ancestry, scoring +1.",,,2
4,The effect of elevated body mass index on ischemic heart disease risk: causal estimates from a Mendelian randomisation approach,"BACKGROUND: Adiposity, assessed as elevated body m...",True,"['title', 'abstract']","['elevated body mass index', 'BMI', 'Adiposity']",True,True,"['title', 'abstract']",['Mendelian randomisation'],False,[],[],True,['abstract'],['Copenhagen'],1,1,1,-2.0,1,"BMI/adiposity is the main exposure studied for its effect on IHD, not as a covariate or mediator. Mendelian randomisation is explicitly mentioned as the method used. Blood pressure terms are absent, thus not studied as outcomes. European ancestry is indicated by the mention of Copenhagen.",,,3
5,A Novel Method for Mendelian Randomization Analyses With Pleiotropy and Linkage Disequilibrium in Genetic Variants From Individual Data,Mendelian randomization makes use of genetic varia...,True,['abstract'],['body mass index'],True,True,"['title', 'abstract']","['Mendelian Randomization', 'Mendelian randomization']",True,['abstract'],['systolic blood pressure'],False,[],[],0,1,1,1.0,-2,"BMI is studied as a main exposure for systolic blood pressure, which is considered as an outcome. Mendelian randomisation is present in both title and abstract. No European ancestry terms are found, leading to a negative score in that category.",,,2
6,Obesity and peripheral arterial disease: A Mendelian Randomization analysis,BACKGROUND AND AIMS: Observational studies showed ...,True,"['title', 'abstract']","['obesity', 'BMI']",True,True,"['title', 'abstract']","['Mendelian Randomization', 'Mendelian Randomization (MR)']",True,['abstract'],['hypertension'],False,[],[],0,1,1,,-2,"BMI/adiposity is the main exposure in the study, directly linked to PAD outcomes. Mendelian randomisation is present and central to the study's methodology. Blood pressure terms are mentioned but not as the main outcome, thus scoring negatively. No European ancestry or population is mentioned, leading to a negative score for that category.",-1.0,,2
7,Association of Body Mass Index With Cardiometabolic Disease in the UK Biobank: A Mendelian Randomization Study,Importance: Higher body mass index (BMI) is a risk...,True,"['title', 'abstract']","['Body Mass Index', 'BMI']",True,True,"['title', 'abstract']",['Mendelian Randomization'],True,['abstract'],"['hypertension', 'systolic blood pressure', 'diastolic blood pressure']",True,"['title', 'abstract']","['UK Biobank', 'United Kingdom']",2,1,1,1.0,-1,"BMI is studied as the main exposure for cardiometabolic diseases, Mendelian randomisation is used to derive causal estimates, blood pressure terms are present as outcomes, and European ancestry is indicated by 'UK Biobank' and 'United Kingdom'.",,,5
8,"The Role of Obesity, Type 2 Diabetes, and Metabolic Factors in Pancreatic Cancer: A Mendelian Randomization Study",Background: Risk factors for pancreatic cancer inc...,True,['abstract'],['body mass index (BMI)'],True,True,"['title', 'abstract']","['Mendelian Randomization', 'Mendelian randomization (MR)']",True,['abstract'],['hypertension'],False,[],[],0,1,1,,-2,"BMI is studied as a main exposure for pancreatic cancer risk. Mendelian randomisation is present in both title and abstract. Hypertension is mentioned, but not as the main outcome. No European ancestry terms are found.",,-1.0,2
9,Understanding Factors That Cause Tinnitus: A Mendelian Randomization Study in the UK Biobank,OBJECTIVES: To investigate the causal role of esta...,True,['abstract'],['high BMI'],False,True,"['title', 'abstract']",['Mendelian randomization'],True,['abstract'],"['higher blood pressure', 'higher systolic blood pressure']",True,['abstract'],['European descent'],0,-1,1,1.0,1,"BMI/adiposity is present but not as the main exposure, hence -1. Mendelian randomisation is present, scoring +1. Blood pressure terms are present and studied as an outcome, scoring +1. European ancestry is present, scoring +1. Total score is 0.",,,2
