,document_info.title,document_info.abstract_preview,term_analysis.bmi_adiposity.present,term_analysis.bmi_adiposity.locations,term_analysis.bmi_adiposity.variations_found,term_analysis.bmi_adiposity.is_main_exposure,term_analysis.mendelian_randomisation.present,term_analysis.mendelian_randomisation.locations,term_analysis.mendelian_randomisation.variations_found,term_analysis.blood_pressure.present,term_analysis.blood_pressure.locations,term_analysis.blood_pressure.variations_found,term_analysis.blood_pressure.is_main_outcome,term_analysis.european_ancestry.present,term_analysis.european_ancestry.locations,term_analysis.european_ancestry.variations_found,score.value,score.breakdown.bmi_adiposity,score.breakdown.mendelian_randomisation,score.breakdown.blood_pressure_terms,score.breakdown.european_ancestry,score.justification,score.breakdown.blood pressure terms,score.breakdown.blood_pressure terms,SCORE
0,The causal role of elevated uric acid and waist circumference on the risk of metabolic syndrome components,BACKGROUND/OBJECTIVES: Hyperuricemia has been foun...,False,[],[],False,True,['abstract'],['Mendelian randomization'],True,['abstract'],"['systolic blood pressure', 'diastolic blood pressure', 'high blood pressure']",True,False,[],[],-1,-2,1,1.0,-2,BMI/adiposity terms are absent and not studied as an exposure. Blood pressure terms are present and studied as main outcomes. Mendelian randomisation is present. No European/white/Caucasian ancestry terms are mentioned.,,,-49
1,Exploring the Relationship Between Schizophrenia and Cardiovascular Disease: A Genetic Correlation and Multivariable Mendelian Randomization Study,Individuals with schizophrenia have a reduced life...,True,['abstract'],['body mass index'],False,True,"['title', 'abstract']","['Mendelian randomization', 'multivariable Mendelian randomization']",True,['abstract'],['systolic and diastolic blood pressure'],False,False,[],[],-3,-1,1,-1.0,-2,"BMI is present but not as the main exposure, it is considered a mediator. Blood pressure terms are present but not as the main outcome. Mendelian randomisation is present and correctly identified. No European ancestry terms are found.",,,-69
2,Causal effect of alcohol use on the risk of end-stage kidney disease and related comorbidities: a Mendelian randomization study,BACKGROUND: An inverse observational association b...,True,['abstract'],"['obesity', 'central obesity']",False,True,"['title', 'abstract']",['Mendelian randomization'],True,['abstract'],['hypertension'],False,True,['abstract'],['white British ancestry'],-1,-1,1,-1.0,1,"BMI/adiposity terms are present but not as the main exposure, resulting in -1 points. Blood pressure terms are present but not as the main outcome, also resulting in -1 points. Mendelian randomisation is present, adding 1 point. European ancestry is confirmed, adding 1 point.",,,-18
3,Human genetic determinants of the gut microbiome and their associations with health and disease: a phenome-wide association study,Small-scale studies have suggested a link between ...,True,['abstract'],['BMI'],False,True,['abstract'],['Mendelian randomization'],True,['abstract'],['hypertension'],True,True,['abstract'],['UK Biobank'],0,-1,1,1.0,1,"BMI is mentioned but not as a main exposure, Mendelian randomisation is present, hypertension is studied as a main outcome, and European ancestry is indicated by 'UK Biobank'.",,,42
4,The effect of elevated body mass index on ischemic heart disease risk: causal estimates from a Mendelian randomisation approach,"BACKGROUND: Adiposity, assessed as elevated body m...",True,"['title', 'abstract']","['elevated body mass index', 'Adiposity, assessed as elevated body mass index (BMI)']",True,True,"['title', 'abstract']",['Mendelian randomisation'],False,[],[],False,True,['abstract'],['Copenhagen'],0,1,1,-2.0,1,"BMI is studied as the main exposure for IHD, Mendelian randomisation is present, no blood pressure terms as main outcomes, and European ancestry is indicated by mention of Copenhagen.",,,-38
5,A Novel Method for Mendelian Randomization Analyses With Pleiotropy and Linkage Disequilibrium in Genetic Variants From Individual Data,Mendelian randomization makes use of genetic varia...,True,['abstract'],['body mass index'],True,True,"['title', 'abstract']","['Mendelian Randomization', 'Mendelian randomization']",True,['abstract'],['systolic blood pressure'],True,False,[],[],1,1,1,1.0,-2,"BMI is studied as a main exposure to systolic blood pressure, which is considered as the main outcome. Mendelian randomisation is present in both title and abstract. No European ancestry terms are found.",,,11
6,Obesity and peripheral arterial disease: A Mendelian Randomization analysis,BACKGROUND AND AIMS: Observational studies showed ...,True,"['title', 'abstract']","['obesity', 'body mass index (BMI)']",True,True,"['title', 'abstract']","['Mendelian Randomization', 'Mendelian Randomization (MR)']",True,['abstract'],['hypertension'],False,False,[],[],-1,1,1,-1.0,-2,"BMI is studied as the main exposure for PAD, Mendelian randomisation is present, hypertension is mentioned but not as the main outcome, and there is no mention of European ancestry.",,,-49
7,Association of Body Mass Index With Cardiometabolic Disease in the UK Biobank: A Mendelian Randomization Study,Importance: Higher body mass index (BMI) is a risk...,True,"['title', 'abstract']","['Body Mass Index', 'BMI']",True,True,"['title', 'abstract']","['Mendelian Randomization', 'mendelian randomization']",True,['abstract'],"['hypertension', 'systolic blood pressure', 'diastolic blood pressure']",True,True,['abstract'],"['UK Biobank', 'United Kingdom']",2,1,1,1.0,-1,"BMI is studied as the main exposure for blood pressure outcomes, which are the main outcomes of the study. Mendelian randomisation is present and used in the analysis. European ancestry is mentioned, but not as a specific focus on European/white/Caucasian ancestry, hence the deduction.",,,62
8,"The Role of Obesity, Type 2 Diabetes, and Metabolic Factors in Pancreatic Cancer: A Mendelian Randomization Study",Background: Risk factors for pancreatic cancer inc...,True,['abstract'],['body mass index (BMI)'],True,True,"['title', 'abstract']","['Mendelian Randomization', 'Mendelian randomization (MR)']",True,['abstract'],['hypertension'],False,False,[],[],-1,1,1,-1.0,-2,"BMI is analyzed as a main exposure for pancreatic cancer risk, contributing positively. Mendelian randomisation is present in both title and abstract. Blood pressure is mentioned but not as the main outcome, resulting in a negative score. No European ancestry terms are found, leading to the lowest score in that category.",,,-49
9,Understanding Factors That Cause Tinnitus: A Mendelian Randomization Study in the UK Biobank,OBJECTIVES: To investigate the causal role of esta...,True,['abstract'],['high BMI'],False,True,"['title', 'abstract']",['Mendelian Randomization'],True,['abstract'],"['higher blood pressure', 'higher systolic blood pressure']",False,True,['abstract'],['European descent'],-1,-1,1,-1.0,1,"BMI/adiposity is present but not as a main exposure, hence -1. Blood pressure terms are present but not as the main outcome, hence -1. Mendelian randomisation is present, hence +1. European ancestry is present, hence +1. Total score is calculated as -1.",,,-18
