title,score.value,decision,score.justification
The causal role of elevated uric acid and waist circumference on the risk of metabolic syndrome components,-3,Excluded,"BMI/adiposity terms are absent, not studied as an exposure or outcome. Mendelian randomisation is present and discussed in the context of causal relationships. Blood pressure terms are present and studied as outcomes. No European/white/Caucasian ancestry terms are mentioned."
Exploring the Relationship Between Schizophrenia and Cardiovascular Disease: A Genetic Correlation and Multivariable Mendelian Randomization Study,-2,Excluded,"BMI is present but not as a main exposure, only as a mediator. Mendelian randomisation is clearly present in both title and abstract. Blood pressure terms are present and studied as outcomes. No European ancestry terms are mentioned."
Causal effect of alcohol use on the risk of end-stage kidney disease and related comorbidities: a Mendelian randomization study,-1,Excluded,"BMI/adiposity terms are present but not as the main exposure, hence -1. Mendelian randomisation is present, scoring +1. Blood pressure terms are present and studied as outcomes, scoring +1. European ancestry is present, scoring +1. Total score is -1 + 1 + 1 + 1 = 1."
Human genetic determinants of the gut microbiome and their associations with health and disease: a phenome-wide association study,0,Excluded,"BMI is mentioned but not as a main exposure, hence -1. Mendelian randomisation is present, scoring +1. Hypertension is mentioned as an outcome, scoring +1. UK Biobank indicates European ancestry, scoring +1."
The effect of elevated body mass index on ischemic heart disease risk: causal estimates from a Mendelian randomisation approach,1,Excluded,"BMI/adiposity is the main exposure studied for its effect on IHD, not as a covariate or mediator. Mendelian randomisation is explicitly mentioned as the method used. Blood pressure terms are absent, thus not studied as outcomes. European ancestry is indicated by the mention of Copenhagen."
A Novel Method for Mendelian Randomization Analyses With Pleiotropy and Linkage Disequilibrium in Genetic Variants From Individual Data,0,Excluded,"BMI is studied as a main exposure for systolic blood pressure, which is considered as an outcome. Mendelian randomisation is present in both title and abstract. No European ancestry terms are found, leading to a negative score in that category."
Obesity and peripheral arterial disease: A Mendelian Randomization analysis,0,Excluded,"BMI/adiposity is the main exposure in the study, directly linked to PAD outcomes. Mendelian randomisation is present and central to the study's methodology. Blood pressure terms are mentioned but not as the main outcome, thus scoring negatively. No European ancestry or population is mentioned, leading to a negative score for that category."
Association of Body Mass Index With Cardiometabolic Disease in the UK Biobank: A Mendelian Randomization Study,2,Excluded,"BMI is studied as the main exposure for cardiometabolic diseases, Mendelian randomisation is used to derive causal estimates, blood pressure terms are present as outcomes, and European ancestry is indicated by 'UK Biobank' and 'United Kingdom'."
"The Role of Obesity, Type 2 Diabetes, and Metabolic Factors in Pancreatic Cancer: A Mendelian Randomization Study",0,Excluded,"BMI is studied as a main exposure for pancreatic cancer risk. Mendelian randomisation is present in both title and abstract. Hypertension is mentioned, but not as the main outcome. No European ancestry terms are found."
Understanding Factors That Cause Tinnitus: A Mendelian Randomization Study in the UK Biobank,0,Excluded,"BMI/adiposity is present but not as the main exposure, hence -1. Mendelian randomisation is present, scoring +1. Blood pressure terms are present and studied as an outcome, scoring +1. European ancestry is present, scoring +1. Total score is 0."
Genetic analysis of obstructive sleep apnoea discovers a strong association with cardiometabolic health,2,Excluded,"BMI is studied as a main exposure for OSA, Mendelian randomisation is present, hypertension is mentioned as a comorbidity, and FinnGen indicates Finnish (European) ancestry."
"Association of lactase persistence genotype with milk consumption, obesity and blood pressure: a Mendelian randomization study in the 1982 Pelotas (Brazil) Birth Cohort, with a systematic review and meta-analysis",-1,Excluded,"BMI/adiposity terms are present but not as main exposure, leading to a -1 score. Mendelian randomisation is present, adding 1 point. Blood pressure terms are present but not as the main outcome, resulting in -1 point. No European ancestry terms are found, resulting in -2 points."
Metabolic and lifestyle factors in relation to senile cataract: a Mendelian randomization study,2,Excluded,"BMI is studied as a main exposure to blood pressure, which is the main outcome. Mendelian randomisation is present in both title and abstract. European ancestry is mentioned, but the terms used refer to specific studies rather than ancestry directly."
Association of Serum Uric Acid with Metabolic Syndrome and Its Components: A Mendelian Randomization Analysis,-3,Excluded,"BMI/adiposity is not mentioned, thus not the main exposure (-2). Mendelian randomisation is present (+1). Blood pressure terms are present but not as the main outcome (+1). No mention of European ancestry or population (-2)."
Impact of comorbidities on gout and hyperuricaemia: an update on prevalence and treatment options,-2,Excluded,"BMI/adiposity terms are absent, not studied as an exposure. Blood pressure terms are present but not as the main outcome. Mendelian randomisation is mentioned but not in the context of European ancestry, which is absent."
Can increasing years of schooling reduce type 2 diabetes (T2D)?: Evidence from a Mendelian randomization of T2D and 10 of its risk factors,-1,Excluded,"BMI/adiposity is present but not as the main exposure, hence -1. Mendelian randomisation is present, scoring +1. Blood pressure terms are present as outcomes, scoring +1. No European ancestry terms are found, scoring -2."
"Genetic Association of Waist-to-Hip Ratio With Cardiometabolic Traits, Type 2 Diabetes, and Coronary Heart Disease",2,Excluded,"BMI is studied as a main exposure in relation to blood pressure and other outcomes. Mendelian randomisation is present and used in the analysis. Blood pressure is studied as an outcome. European ancestry is indicated by the mention of the UK Biobank, but it does not explicitly confirm European ancestry for the entire study population."
