document_info.title,document_info.abstract_preview,term_analysis.bmi_adiposity.present,term_analysis.bmi_adiposity.locations,term_analysis.bmi_adiposity.variations_found,term_analysis.bmi_adiposity.is_main_exposure,term_analysis.mendelian_randomisation.present,term_analysis.mendelian_randomisation.locations,term_analysis.mendelian_randomisation.variations_found,term_analysis.mendelian_randomisation.is_main_method,term_analysis.blood_pressure.present,term_analysis.blood_pressure.locations,term_analysis.blood_pressure.variations_found,term_analysis.blood_pressure.is_main_outcome,term_analysis.european_ancestry.present,term_analysis.european_ancestry.locations,term_analysis.european_ancestry.variations_found,term_analysis.european_ancestry.is_ancestry_European,term_analysis.reviews.present,term_analysis.reviews.locations,term_analysis.reviews.variations_found,Reason.justify
The causal role of elevated uric acid and waist circumference on the risk of metabolic syndrome components,BACKGROUND/OBJECTIVES: Hyperuricemia has been foun...,True,['abstract'],['waist circumference'],True,True,['abstract'],['Mendelian randomization'],True,True,['abstract'],"['systolic blood pressure', 'diastolic blood pressure', 'mean arterial pressure']",True,False,[],[],False,False,[],[],"waist circumference, Mendelian randomization, systolic blood pressure, diastolic blood pressure, mean arterial pressure"
Exploring the Relationship Between Schizophrenia and Cardiovascular Disease: A Genetic Correlation and Multivariable Mendelian Randomization Study,Individuals with schizophrenia have a reduced life...,True,['abstract'],['body mass index'],True,True,"['title', 'abstract']","['Mendelian Randomization', 'multivariable MR']",True,True,['abstract'],['systolic and diastolic blood pressure'],False,False,[],[],False,False,[],[],"BMI as main exposure, Mendelian Randomization as main method, systolic and diastolic blood pressure not main outcome, no European ancestry or review terms."
Causal effect of alcohol use on the risk of end-stage kidney disease and related comorbidities: a Mendelian randomization study,BACKGROUND: An inverse observational association b...,True,['abstract'],"['obesity', 'central obesity']",False,True,"['title', 'abstract']",['Mendelian randomization'],True,True,['abstract'],['hypertension'],False,True,['abstract'],['white British ancestry'],True,False,[],[],"Mendelian randomization, white British ancestry, obesity, central obesity, hypertension"
Human genetic determinants of the gut microbiome and their associations with health and disease: a phenome-wide association study,Small-scale studies have suggested a link between ...,True,['abstract'],['BMI'],False,True,['abstract'],['Mendelian randomization'],True,True,['abstract'],['hypertension'],True,True,['abstract'],['UK Biobank'],True,False,[],[],"BMI, Mendelian randomization, hypertension, UK Biobank present in abstract. No review terms found."
The effect of elevated body mass index on ischemic heart disease risk: causal estimates from a Mendelian randomisation approach,"BACKGROUND: Adiposity, assessed as elevated body m...",True,"['title', 'abstract']","['elevated body mass index', 'BMI', 'Adiposity']",True,True,"['title', 'abstract']",['Mendelian randomisation'],True,False,[],[],False,True,['abstract'],['Copenhagen'],True,False,[],[],"Terms present: elevated body mass index, BMI, Adiposity, Mendelian randomisation, Copenhagen. Terms missing: blood pressure terms, review terms."
A Novel Method for Mendelian Randomization Analyses With Pleiotropy and Linkage Disequilibrium in Genetic Variants From Individual Data,Mendelian randomization makes use of genetic varia...,True,['abstract'],['body mass index'],True,True,"['title', 'abstract']","['Mendelian Randomization', 'Mendelian randomization']",True,True,['abstract'],['systolic blood pressure'],True,False,[],[],False,False,[],[],"Terms found: body mass index, Mendelian Randomization, Mendelian randomization, systolic blood pressure. Missing terms: European ancestry terms, review terms."
Obesity and peripheral arterial disease: A Mendelian Randomization analysis,BACKGROUND AND AIMS: Observational studies showed ...,True,"['title', 'abstract']","['obesity', 'body mass index (BMI)']",True,True,"['title', 'abstract']","['Mendelian Randomization', 'Mendelian Randomization (MR)']",True,False,[],[],False,False,[],[],False,False,[],[],"BMI and adiposity terms 'obesity', 'body mass index (BMI)' are present and main exposure. Mendelian randomisation terms 'Mendelian Randomization', 'Mendelian Randomization (MR)' are present and main method. No blood pressure terms as main outcome. No European ancestry or country terms found. No review terms found."
Association of Body Mass Index With Cardiometabolic Disease in the UK Biobank: A Mendelian Randomization Study,Importance: Higher body mass index (BMI) is a risk...,True,"['title', 'abstract']","['Body Mass Index', 'BMI']",True,True,"['title', 'abstract']",['Mendelian Randomization'],True,True,['abstract'],"['hypertension', 'systolic blood pressure', 'diastolic blood pressure']",True,True,"['title', 'abstract']","['UK Biobank', 'United Kingdom']",True,False,[],[],"All terms are present as required: Body Mass Index, BMI, Mendelian Randomization, hypertension, systolic blood pressure, diastolic blood pressure, UK Biobank, United Kingdom. No review terms found."
"The Role of Obesity, Type 2 Diabetes, and Metabolic Factors in Pancreatic Cancer: A Mendelian Randomization Study",Background: Risk factors for pancreatic cancer inc...,True,['abstract'],['increasing body mass index (BMI)'],True,True,"['title', 'abstract']","['Mendelian Randomization', 'Mendelian randomization (MR)']",True,True,['abstract'],['hypertension'],False,False,[],[],False,False,[],[],"BMI as main exposure, Mendelian randomisation as main method, hypertension present but not main outcome, no European ancestry terms, no review terms."
Understanding Factors That Cause Tinnitus: A Mendelian Randomization Study in the UK Biobank,OBJECTIVES: To investigate the causal role of esta...,True,['abstract'],['high BMI'],False,True,"['title', 'abstract']","['Mendelian Randomization', 'Mendelian randomization']",True,True,['abstract'],"['higher blood pressure', 'higher systolic blood pressure']",False,True,['abstract'],['European descent'],True,False,[],[],"high BMI, Mendelian Randomization, higher blood pressure, higher systolic blood pressure, European descent"
