title,score.value,decision,score.justification
The causal role of elevated uric acid and waist circumference on the risk of metabolic syndrome components,-1,Excluded,BMI/adiposity terms are absent and not studied as an exposure. Blood pressure terms are present and studied as main outcomes. Mendelian randomisation is present. No European/white/Caucasian ancestry terms are mentioned.
Exploring the Relationship Between Schizophrenia and Cardiovascular Disease: A Genetic Correlation and Multivariable Mendelian Randomization Study,-3,Excluded,"BMI is present but not as the main exposure, it is considered a mediator. Blood pressure terms are present but not as the main outcome. Mendelian randomisation is present and correctly identified. No European ancestry terms are found."
Causal effect of alcohol use on the risk of end-stage kidney disease and related comorbidities: a Mendelian randomization study,-1,Excluded,"BMI/adiposity terms are present but not as the main exposure, resulting in -1 points. Blood pressure terms are present but not as the main outcome, also resulting in -1 points. Mendelian randomisation is present, adding 1 point. European ancestry is confirmed, adding 1 point."
Human genetic determinants of the gut microbiome and their associations with health and disease: a phenome-wide association study,0,Excluded,"BMI is mentioned but not as a main exposure, Mendelian randomisation is present, hypertension is studied as a main outcome, and European ancestry is indicated by 'UK Biobank'."
The effect of elevated body mass index on ischemic heart disease risk: causal estimates from a Mendelian randomisation approach,0,Excluded,"BMI is studied as the main exposure for IHD, Mendelian randomisation is present, no blood pressure terms as main outcomes, and European ancestry is indicated by mention of Copenhagen."
A Novel Method for Mendelian Randomization Analyses With Pleiotropy and Linkage Disequilibrium in Genetic Variants From Individual Data,1,Excluded,"BMI is studied as a main exposure to systolic blood pressure, which is considered as the main outcome. Mendelian randomisation is present in both title and abstract. No European ancestry terms are found."
Obesity and peripheral arterial disease: A Mendelian Randomization analysis,-1,Excluded,"BMI is studied as the main exposure for PAD, Mendelian randomisation is present, hypertension is mentioned but not as the main outcome, and there is no mention of European ancestry."
Association of Body Mass Index With Cardiometabolic Disease in the UK Biobank: A Mendelian Randomization Study,2,Excluded,"BMI is studied as the main exposure for blood pressure outcomes, which are the main outcomes of the study. Mendelian randomisation is present and used in the analysis. European ancestry is mentioned, but not as a specific focus on European/white/Caucasian ancestry, hence the deduction."
"The Role of Obesity, Type 2 Diabetes, and Metabolic Factors in Pancreatic Cancer: A Mendelian Randomization Study",-1,Excluded,"BMI is analyzed as a main exposure for pancreatic cancer risk, contributing positively. Mendelian randomisation is present in both title and abstract. Blood pressure is mentioned but not as the main outcome, resulting in a negative score. No European ancestry terms are found, leading to the lowest score in that category."
Understanding Factors That Cause Tinnitus: A Mendelian Randomization Study in the UK Biobank,-1,Excluded,"BMI/adiposity is present but not as a main exposure, hence -1. Blood pressure terms are present but not as the main outcome, hence -1. Mendelian randomisation is present, hence +1. European ancestry is present, hence +1. Total score is calculated as -1."
