,title,abstract,decision,zero_shot
172,A Novel Method for Mendelian Randomization Analyses With Pleiotropy and Linkage Disequilibrium in Genetic Variants From Individual Data,"Mendelian randomization makes use of genetic variants as instrumental variables to eliminate the influence induced by unknown confounders on causal estimation in epidemiology studies. However, with the soaring genetic variants identified in genome-wide association studies, the pleiotropy, and linkage disequilibrium in genetic variants are unavoidable and may produce severe bias in causal inference. In this study, by modeling the pleiotropic effect as a normally distributed random effect, we propose a novel mixed-effects regression model-based method PLDMR, pleiotropy and linkage disequilibrium adaptive Mendelian randomization, which takes linkage disequilibrium into account and also corrects for the pleiotropic effect in causal effect estimation and statistical inference. We conduct voluminous simulation studies to evaluate the performance of the proposed and existing methods. Simulation results illustrate the validity and advantage of the novel method, especially in the case of linkage disequilibrium and directional pleiotropic effects, compared with other methods. In addition, by applying this novel method to the data on Atherosclerosis Risk in Communications Study, we conclude that body mass index has a significant causal effect on and thus might be a potential risk factor of systolic blood pressure. The novel method is implemented in R and the corresponding R code is provided for free download. Copyright © 2021 Wang, Li, Fu, Yang and Hu.",Included,Included
29,"A UGT1A1 variant is associated with serum total bilirubin levels, which are causal for hypertension in African-ancestry individuals","Serum bilirubin is associated with several clinical outcomes, including hypertension, type 2 diabetes (T2D), and drug metabolism. Here, we describe findings from our genome-wide association studies (GWAS) of serum (TBIL) using a generalized linear mixed model in West Africans (n = 1127), with adjustment for age, sex, body mass index, T2D, significant principal components of population structure, and cryptic relatedness. Genome-wide conditional analysis and CAVIARBF were used to fine map significant loci. The causal effect of TBIL on hypertension was assessed by Mendelian randomization (MR) using the GWAS findings as instrumental variables (IVs) in African Americans (n = 3,067). The SNP rs887829 (UGT1A1) was significantly associated with TBIL levels (effect allele (T) frequency = 0.49, beta (SE) = 0.59 (0.04), p = 9.13 x 10-54). Genome-wide conditional analysis and regional fine mapping pointed to rs887829 as a possible causal variant with a posterior inclusion probability of 0.99. The T allele of rs887829 is associated with lower hepatic expression of UGT1A1. Using rs887829 as an IV, two-stage least-squares MR showed a causal effect of bilirubin on hypertension (beta = -0.76, 95% CI [-1.52, -0.01], p = 0.0459). Our finding confirms that UGT1A1 influences bilirubin levels. Notably, lower TBIL is causally associated with the increased risk of hypertension.",Included,Included
75,A data-driven approach for studying the role of body mass in multiple diseases: a phenome-wide registry-based case-control study in the UK Biobank,"BACKGROUND: Mendelian randomisation allows for the testing of causal effects in situations where clinical trials are challenging to do. In this hypothesis-free, data-driven phenome-wide association study (PheWAS), we sought to assess possible associations of high body-mass index (BMI) with multiple disease outcomes., METHODS: For this registry-based case-control PheWAS, we used genome-wide data available from the UK Biobank to construct a genetic risk score of 76 variants related to BMI. Eligible UK Biobank participants were aged 37-73 years during recruitment, were white British, were unrelated to each other, and had available genetic information. Disease outcomes from these participants were mapped to a phenotype code (phecode). Participants with a phecode of interest were recoded as cases, whereas participants without a phecode of interest or any codes under a parent phecode were classified as controls. We did a PheWAS to analyse possible associations between the BMI genetic risk score and a range of disease outcomes. Disease associations passing stringent correction for multiple testing (Bonferroni corrected threshold p<5.4 x 10-5, false discovery rate corrected p<0.0074) were assessed for causal association with use of inverse-variance weighted mendelian randomisation. We did sensitivity analyses to assess pleiotropy and stability of estimation with use of weighted median, weighted mode, Egger regression, and mendelian randomisation pleiotropy residual sum and outlier methods., FINDINGS: Our study population comprised 337 536 UK Biobank participants, and analyses were done for 925 unique phecodes from 17 different disease categories. After Bonferroni correction, PheWAS identified that BMI genetic risk score was associated with hospital-diagnosed obesity and 58 other outcomes; 30 distinct disease associations were supported by the mendelian randomisation analyses. 30 distinct disease associations were supported by the mendelian randomisation analyses. In inverse-variance weighted mendelian randomisation, genetically determined BMI was associated with endocrine disorders (odds ratio per one SD or 4.1 kg/m2 higher BMI 2.72, 95% CI 2.33-3.29 for type 2 diabetes; 2.11, 1.62-2.76 for type 1 diabetes; and 1.46, 1.25-1.70 for hypothyroidism), circulatory diseases (1.96, 1.53-2.51 for phlebitis and thrombophlebitis; 1.89, 1.39-2.57 for cardiomegaly; 1.68, 1.35-2.09 for congestive heart failure; 1.55, 1.37-1.76 for hypertension; 1.31, 1.13-1.52 for ischaemic heart disease; and 1.25, 1.14-1.37 for cardiac dysrhythmias), and inflammatory or dermatological conditions (2.00, 1.72-2.23 for superficial cellulitis and abscess; 3.37, 2.17-5.25 for chronic ulcers of leg and foot; 4.99, 2.54-9.82 for gangrene; and 2.24, 1.53-3.28 for atopy). Mendelian randomisation analyses provided further support for a causal effect of BMI on renal failure, osteoarthrosis, neurological (insomnia and peripheral nerve disorders) and respiratory diseases (asthma and chronic bronchitis), structural problems (hernias and knee derangement), and chemotherapy treatment. Mendelian randomisation with Egger regression produced consistently wider CIs compared with those of other methods. 26 of 72 distinct diseases detected under false discovery rate correction produced consistent estimates across at least four mendelian randomisation methods, and consistent evidence across all five approaches was obtained for 14 diseases., INTERPRETATION: Our data-driven approach identified a range of diseases as possibly affected by high BMI. This population-level screening approximated the accumulated consequences of high BMI, whereas the true effects might be more complex and vary by life stage. Our results highlight the importance of obesity prevention and effective management of obesity-related comorbidities., FUNDING: National Health and Medical Research Council of Australia. Copyright © 2019 The Author(s) 2019. Published by Elsevier Ltd. This is an open access article under the CC BY 4.0 license. Published by Elsevier Ltd.. All rights reserved.",Included,Included
56,A genetic risk score for fasting plasma glucose is independently associated with arterial stiffness: a Mendelian randomization study,"BACKGROUND: Arterial stiffness is known to be associated with a number of clinical conditions including hypertension, diabetes and dyslipidemia, and may predict cardiovascular events and mortality. However, causal links are hard to establish. Results from genome-wide association studies have identified only a few single nucleotide polymorphisms associated with arterial stiffness, the results have been inconsistent between studies and overlap with other clinical conditions is lacking. Our aim was to investigate a potential shared set of risk single nucleotide polymorphisms between relevant cardiometabolic traits and arterial stiffness., METHOD: The study population consisted of 2853 individuals (mean age 72 years, 40% men) from the population-based Malmo Diet and Cancer study, Sweden. Carotid-femoral pulse wave velocity, a marker of arterial stiffness, was measured with Sphygmocor. Mendelian randomization analyses were performed using the two-stage least square regression and multivariate inverse-variance weighted methods., RESULTS: There were positive associations between arterial stiffness and genetic risk scores for type 2 diabetes (beta = 0.03, P = 0.04) and fasting plasma glucose (beta = 0.03, P = 0.03), but not for systolic blood pressure, body mass index, low-density lipoprotein cholesterol, high-density lipoprotein cholesterol or triglycerides. Multivariate inverse-variance weighted methods confirmed the significant positive association for fasting plasma glucose beta coefficients (P = 0.006), but not for type 2 diabetes beta coefficients (P = 0.88)., CONCLUSION: Genetically elevated fasting plasma glucose, but not genetically elevated risk of type 2 diabetes, was associated with arterial stiffness suggesting a causal stiffening effect of glycemia on the arterial wall, independently of type 2 diabetes.",Included,Included
104,A multi-omics study of circulating phospholipid markers of blood pressure,"High-throughput techniques allow us to measure a wide-range of phospholipids which can provide insight into the mechanisms of hypertension. We aimed to conduct an in-depth multi-omics study of various phospholipids with systolic blood pressure (SBP) and diastolic blood pressure (DBP). The associations of blood pressure and 151 plasma phospholipids measured by electrospray ionization tandem mass spectrometry were performed by linear regression in five European cohorts (n = 2786 in discovery and n = 1185 in replication). We further explored the blood pressure-related phospholipids in Erasmus Rucphen Family (ERF) study by associating them with multiple cardiometabolic traits (linear regression) and predicting incident hypertension (Cox regression). Mendelian Randomization (MR) and phenome-wide association study (Phewas) were also explored to further investigate these association results. We identified six phosphatidylethanolamines (PE 38:3, PE 38:4, PE 38:6, PE 40:4, PE 40:5 and PE 40:6) and two phosphatidylcholines (PC 32:1 and PC 40:5) which together predicted incident hypertension with an area under the ROC curve (AUC) of 0.61. The identified eight phospholipids are strongly associated with triglycerides, obesity related traits (e.g. waist, waist-hip ratio, total fat percentage, body mass index, lipid-lowering medication, and leptin), diabetes related traits (e.g. glucose, insulin resistance and insulin) and prevalent type 2 diabetes. The genetic determinants of these phospholipids also associated with many lipoproteins, heart rate, pulse rate and blood cell counts. No significant association was identified by bi-directional MR approach. We identified eight blood pressure-related circulating phospholipids that have a predictive value for incident hypertension. Our cross-omics analyses show that phospholipid metabolites in the circulation may yield insight into blood pressure regulation and raise a number of testable hypothesis for future research. Copyright © 2022. The Author(s).",Included,Included
137,A multi-population phenome-wide association study of genetically-predicted height in the Million Veteran Program,"BACKGROUND: Height has been associated with many clinical traits but whether such associations are causal versus secondary to confounding remains unclear in many cases. To systematically examine this question, we performed a Mendelian Randomization-Phenome-wide association study (MR-PheWAS) using clinical and genetic data from a national healthcare system biobank., METHODS AND FINDINGS: Analyses were performed using data from the US Veterans Affairs (VA) Million Veteran Program in non-Hispanic White (EA, n = 222,300) and non-Hispanic Black (AA, n = 58,151) adults in the US. We estimated height genetic risk based on 3290 height-associated variants from a recent European-ancestry genome-wide meta-analysis. We compared associations of measured and genetically-predicted height with phenome-wide traits derived from the VA electronic health record, adjusting for age, sex, and genetic principal components. We found 345 clinical traits associated with measured height in EA and an additional 17 in AA. Of these, 127 were associated with genetically-predicted height at phenome-wide significance in EA and 2 in AA. These associations were largely independent from body mass index. We confirmed several previously described MR associations between height and cardiovascular disease traits such as hypertension, hyperlipidemia, coronary heart disease (CHD), and atrial fibrillation, and further uncovered MR associations with venous circulatory disorders and peripheral neuropathy in the presence and absence of diabetes. As a number of traits associated with genetically-predicted height frequently co-occur with CHD, we evaluated effect modification by CHD status of genetically-predicted height associations with risk factors for and complications of CHD. We found modification of effects of MR associations by CHD status for atrial fibrillation/flutter but not for hypertension, hyperlipidemia, or venous circulatory disorders., CONCLUSIONS: We conclude that height may be an unrecognized but biologically plausible risk factor for several common conditions in adults. However, more studies are needed to reliably exclude horizontal pleiotropy as a driving force behind at least some of the MR associations observed in this study.",Excluded,Excluded
169,A phenome-wide bidirectional Mendelian randomization analysis of atrial fibrillation,"BACKGROUND: The prevalence of atrial fibrillation (AF) is increasing with an aging worldwide population, yet a comprehensive understanding of its causes and consequences remains limited. We aim to assess the causes and consequences of AF via a bidirectional Mendelian randomization (MR) analysis., METHODS: We used publicly available genome-wide association study (GWAS) summary data, centralized and harmonized by an open GWAS database. We assessed the genetically predicted effects of 5048 exposures on risk of AF, and the genetically predicted effects of genetic liability to AF, on 10 308 outcomes via two-sample MR analysis. Multivariable MR analysis was further conducted to explore the comparative roles of identified risk factors., RESULTS: MR analysis suggested that 55 out of 5048 exposure traits, including four proteins, play a causal role in AF (P <1e-5 allowing for multiple comparisons). Multivariable analysis suggested that higher body mass index, height and systolic blood pressure as well as genetic liability to coronary artery diseases independently cause AF. Three out of the four proteins (DUSP13, TNFSF12 and IL6R) had a drug prioritizing score for atrial fibrillation of 0.26, 0.38 and 0.88, respectively (values closer to 1 indicating stronger evidence of the protein as a potential drug target). Genetic liability to AF was linked to a higher risk of cardio-embolic ischaemic stroke., CONCLUSIONS: Our results suggest body mass index, height, systolic blood pressure and genetic liability to coronary artery disease are independent causal risk factors for AF. Several proteins, including DUSP13, IL-6R and TNFSF12, may have therapeutic potential for AF. Copyright © The Author(s) 2022. Published by Oxford University Press on behalf of the International Epidemiological Association.",Included,Included
156,A two-sample Mendelian randomization analysis of modifiable risk factors and intracranial aneurysms,"We aimed to investigate the causality between potentially modifiable risk factors and the risk of intracranial aneurysm. Genetic instruments for 51 modifiable factors and intracranial aneurysm data were obtained from recently published genome-wide association studies. We applied two-sample Mendelian randomization methods to investigate their causal relationships. Genetically predicted cigarettes per day, smoking initiation, systolic blood pressure, hypertension and body fat percentage were significantly associated with an increased risk of intracranial aneurysm [odds ratios (OR) 2.67, 95% confidence interval (CI) 1.75-4.07, p = 5.36 x 10-6, OR 1.53, 95% CI 1.32-1.77, p = 9.58 x 10-9, OR 1.05, 95% CI 1.02-1.08, p = 1.18 x 10-3, OR 1.65, 95% CI 1.19-2.28, p = 2.56 x 10-3 and OR 1.29, 95% CI 1.11-1.52, p = 1.33 x 10-3, respectively]. Type 2 diabetes mellitus was significantly associated with a decreased risk of intracranial aneurysm (OR 0.89, 95% CI 0.83-0.95, p = 8.54 x 10-4). Body fat percentage was significantly associated with subarachnoid haemorrhage (p = 5.70 x 10-5). This study provided genetic evidence of causal effects of smoking, blood pressure, type 2 diabetes mellitus and obesity on the risk of intracranial aneurysm. Copyright © 2022. The Author(s).",Included,Included
88,Accelerated MRI-predicted brain ageing and its associations with cardiometabolic and brain disorders,"Brain structure in later life reflects both influences of intrinsic aging and those of lifestyle, environment and disease. We developed a deep neural network model trained on brain MRI scans of healthy people to predict ""healthy"" brain age. Brain regions most informative for the prediction included the cerebellum, hippocampus, amygdala and insular cortex. We then applied this model to data from an independent group of people not stratified for health. A phenome-wide association analysis of over 1,410 traits in the UK Biobank with differences between the predicted and chronological ages for the second group identified significant associations with over 40 traits including diseases (e.g., type I and type II diabetes), disease risk factors (e.g., increased diastolic blood pressure and body mass index), and poorer cognitive function. These observations highlight relationships between brain and systemic health and have implications for understanding contributions of the latter to late life dementia risk.",Included,Included
127,"Adult height, coronary heart disease and stroke: a multi-locus Mendelian randomization meta-analysis","Background: We investigated causal effect of completed growth, measured by adult height, on coronary heart disease (CHD), stroke and cardiovascular traits, using instrumental variable (IV) Mendelian randomization meta-analysis., Methods: We developed an allele score based on 69 single nucleotide polymorphisms (SNPs) associated with adult height, identified by the IBCCardioChip, and used it for IV analysis against cardiovascular risk factors and events in 21 studies and 60 028 participants. IV analysis on CHD was supplemented by summary data from 180 height-SNPs from the GIANT consortium and their corresponding CHD estimates derived from CARDIoGRAMplusC4D., Results: IV estimates from IBCCardioChip and GIANT-CARDIoGRAMplusC4D showed that a 6.5-cm increase in height reduced the odds of CHD by 10% [odds ratios 0.90; 95% confidence intervals (CIs): 0.78 to 1.03 and 0.85 to 0.95, respectively],which agrees with the estimate from the Emerging Risk Factors Collaboration (hazard ratio 0.93; 95% CI: 0.91 to 0.94). IV analysis revealed no association with stroke (odds ratio 0.97; 95% CI: 0.79 to 1.19). IV analysis showed that a 6.5-cm increase in height resulted in lower levels of body mass index ( P < 0.001), triglycerides ( P < 0.001), non high-density (non-HDL) cholesterol ( P < 0.001), C-reactive protein ( P = 0.042), and systolic blood pressure ( P = 0.064) and higher levels of forced expiratory volume in 1 s and forced vital capacity ( P < 0.001 for both)., Conclusions: Taller individuals have a lower risk of CHD with potential explanations being that taller people have a better lung function and lower levels of body mass index, cholesterol and blood pressure. Copyright © The Author 2015; all rights reserved. Published by Oxford University Press on behalf of the International Epidemiological Association",Included,Included
44,Age- and sex-specific causal effects of adiposity on cardiovascular risk factors,"Observational studies have reported different effects of adiposity on cardiovascular risk factors across age and sex. Since cardiovascular risk factors are enriched in obese individuals, it has not been easy to dissect the effects of adiposity from those of other risk factors. We used a Mendelian randomization approach, applying a set of 32 genetic markers to estimate the causal effect of adiposity on blood pressure, glycemic indices, circulating lipid levels, and markers of inflammation and liver disease in up to 67,553 individuals. All analyses were stratified by age (cutoff 55 years of age) and sex. The genetic score was associated with BMI in both nonstratified analysis (P = 2.8 x 10(-107)) and stratified analyses (all P < 3.3 x 10(-30)). We found evidence of a causal effect of adiposity on blood pressure, fasting levels of insulin, C-reactive protein, interleukin-6, HDL cholesterol, and triglycerides in a nonstratified analysis and in the <55-year stratum. Further, we found evidence of a smaller causal effect on total cholesterol (P for difference = 0.015) in the >=55-year stratum than in the <55-year stratum, a finding that could be explained by biology, survival bias, or differential medication. In conclusion, this study extends previous knowledge of the effects of adiposity by providing sex- and age-specific causal estimates on cardiovascular risk factors. Copyright © 2015 by the American Diabetes Association. Readers may use this article as long as the work is properly cited, the use is educational and not for profit, and the work is not altered.",Included,Included
2,Alcohol consumption and cognitive impairment in older men: a mendelian randomization study,"OBJECTIVE: To determine whether alcohol consumption is causally associated with cognitive impairment in older men as predicted by mendelian randomization., METHODS: Retrospective analysis of a cohort study of 3,542 community-dwelling men aged 65 to 83 years followed for 6 years. Cognitive impairment was established by a Mini-Mental State Examination score of 23 or less. Participants provided detailed information about their use of alcohol during the preceding year and were classified as abstainers, occasional drinkers, and regular drinkers: mild (<15 drinks/wk), moderate (15-27 drinks/wk), heavy (28-34 drinks/wk), and abusers (>=35 drinks/wk). We genotyped the rs1229984 G->A variant of the alcohol dehydrogenase 1B (ADH1B) gene, which is associated with lower prevalence of alcohol abuse and dependence. Other measures included age, education, marital status, smoking and physical activity, body mass index, diabetes, hypertension, and cardiovascular diseases., RESULTS: At study entry, rs1229984 G->A polymorphism was associated with lower prevalence of regular use of alcohol and decreased consumption among regular users. Six years later, 502 men (14.2%) showed evidence of cognitive impairment. Abstainers and irregular drinkers had higher odds of cognitive impairment than regular drinkers (odds ratio [OR] = 1.23, 95% confidence interval [CI] = 1.00-1.51, after adjustment for other measured factors). The rs1229984 G->A polymorphism did not decrease the odds of cognitive impairment (AA/GG OR = 1.35, 95% CI = 0.29-6.27; GA/GG OR = 1.05, 95% CI = 0.71-1.55)., CONCLUSIONS: Alcohol consumption, including heavy regular drinking and abuse, is not a direct cause of cognitive impairment in later life. Our results are consistent with the possibility, but do not prove, that regular moderate drinking decreases the risk of cognitive impairment in older men.",Included,Included
105,Alcohol consumption and electrocardiographic left ventricular hypertrophy and mediation by elevated blood pressure in older Chinese men: the Guangzhou Biobank Cohort Study,"BACKGROUND: Chinese people have a markedly lower alcohol consumption than people in the West. Whether alcohol consumption at such levels is associated with left ventricular hypertrophy, and the role of blood pressure (BP) in this relationship is unclear. We investigated the association between alcohol consumption and electrocardiographic left ventricular hypertrophy (ECG-LVH) and the mediating role of BP in Chinese men aged >=50 years., METHODS AND RESULTS: A case-control analysis was conducted on baseline cross-sectional data from the community-based Guangzhou Biobank Cohort Study (2003-2008), using standard 12-lead resting electrocardiograms. By comparing 191 new ECG-LVH cases with 4311 controls, excessive drinking (>210 g/week) showed excess risks for ECG-LVH (odds ratio [OR] = 1.90, 95% confidence interval [CI] = 1.12-3.24), after adjusting for education, income, occupation, physical activity, smoking, body mass index, fasting glucose, triglyceride, total cholesterol, high-density lipoprotein cholesterol, BP, and antihypertensive medication. Mediation analysis showed a significant mediating effect of BP on the association between excessive drinking and ECG-LVH: systolic (31%) and diastolic (16%). After multivariate adjustment, no significant association was found between occasional drinking (=once/week to <=210 g/week: OR = 0.88, 95% CI = 0.53-1.47) with increased/decreased risk of ECG-LVH., CONCLUSIONS: Alcohol consumption at >210 g/week in Chinese men is an independent risk factor for ECG-LVH. Low power prevented us from examining whether drinking at <once/week to <=210 g/week is associated with decreased/increased risk of ECG-LVH. Elevated BP partially mediates between alcohol and ECG-LVH. A Mendelian randomization approach with a large sample size is warranted to determine the relations among alcohol consumption, BP, and LVH. Copyright © 2013 Elsevier Inc. All rights reserved.",Excluded,Excluded
